artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Drake,7am On Bridle Path,0.724,0.531,5,-4.108,0,0.298,0.225,0.0,0.11,0.141,89.901,audio_features,42m3eP1JJhtzffal9B136J,spotify:track:42m3eP1JJhtzffal9B136J,https://api.spotify.com/v1/tracks/42m3eP1JJhtzffal9B136J,https://api.spotify.com/v1/audio-analysis/42m3eP1JJhtzffal9B136J,239635,4
BTS,Butter,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,audio_features,2bgTY4UwhfBYhGT4HUYStN,spotify:track:2bgTY4UwhfBYhGT4HUYStN,https://api.spotify.com/v1/tracks/2bgTY4UwhfBYhGT4HUYStN,https://api.spotify.com/v1/audio-analysis/2bgTY4UwhfBYhGT4HUYStN,164442,4
Drake,Race My Mind,0.488,0.635,10,-7.19,1,0.26,0.179,8.16e-06,0.156,0.783,174.072,audio_features,2Q3jFbyE61mCjS3SkW4toJ,spotify:track:2Q3jFbyE61mCjS3SkW4toJ,https://api.spotify.com/v1/tracks/2Q3jFbyE61mCjS3SkW4toJ,https://api.spotify.com/v1/audio-analysis/2Q3jFbyE61mCjS3SkW4toJ,269884,4
Doja Cat Featuring SZA,Kiss Me More,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,audio_features,748mdHapucXQri7IAO8yFK,spotify:track:748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/tracks/748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/audio-analysis/748mdHapucXQri7IAO8yFK,208867,4
Lil Nas X & Jack Harlow,Industry Baby,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,audio_features,27NovPIUIRrOZoCHxABJwK,spotify:track:27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/tracks/27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/audio-analysis/27NovPIUIRrOZoCHxABJwK,212000,4
Walker Hayes,Fancy Like,0.649,0.76,1,-6.487,1,0.0574,0.114,0.0,0.317,0.843,80.018,audio_features,3ZozFqJJlDBNIm4xqxn2ZD,spotify:track:3ZozFqJJlDBNIm4xqxn2ZD,https://api.spotify.com/v1/tracks/3ZozFqJJlDBNIm4xqxn2ZD,https://api.spotify.com/v1/audio-analysis/3ZozFqJJlDBNIm4xqxn2ZD,161853,4
Drake Featuring Kid Cudi,IMY2,0.59,0.493,7,-8.704,0,0.0367,0.402,0.00504,0.129,0.0498,150.026,audio_features,7F9cT6hIRhnFCYP6GKS0tf,spotify:track:7F9cT6hIRhnFCYP6GKS0tf,https://api.spotify.com/v1/tracks/7F9cT6hIRhnFCYP6GKS0tf,https://api.spotify.com/v1/audio-analysis/7F9cT6hIRhnFCYP6GKS0tf,252379,4
Dua Lipa,Levitating,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,audio_features,463CkQjx2Zk1yXoBuierM9,spotify:track:463CkQjx2Zk1yXoBuierM9,https://api.spotify.com/v1/tracks/463CkQjx2Zk1yXoBuierM9,https://api.spotify.com/v1/audio-analysis/463CkQjx2Zk1yXoBuierM9,203064,4
Drake & Yebba,Yebba's Heartbreak,0.476,0.161,8,-11.665,0,0.0407,0.967,0.0381,0.109,0.0908,119.614,audio_features,1PDP7mLiAMwhfmgIwzhOm2,spotify:track:1PDP7mLiAMwhfmgIwzhOm2,https://api.spotify.com/v1/tracks/1PDP7mLiAMwhfmgIwzhOm2,https://api.spotify.com/v1/audio-analysis/1PDP7mLiAMwhfmgIwzhOm2,133763,4
Drake Featuring Lil Wayne & Rick Ross,You Only Live Twice,0.519,0.851,7,-6.001,1,0.29,0.118,0.0,0.178,0.711,123.823,audio_features,50ceCGZ3oD3U5caQV5bP6f,spotify:track:50ceCGZ3oD3U5caQV5bP6f,https://api.spotify.com/v1/tracks/50ceCGZ3oD3U5caQV5bP6f,https://api.spotify.com/v1/audio-analysis/50ceCGZ3oD3U5caQV5bP6f,213104,5
Drake Featuring Tems,Fountains,0.843,0.485,10,-8.735,0,0.195,0.181,0.0675,0.107,0.689,100.053,audio_features,08XWh5c0BMyD1nKVxxl91z,spotify:track:08XWh5c0BMyD1nKVxxl91z,https://api.spotify.com/v1/tracks/08XWh5c0BMyD1nKVxxl91z,https://api.spotify.com/v1/audio-analysis/08XWh5c0BMyD1nKVxxl91z,192418,4
Drake Featuring Ty Dolla $ign,Get Along Better,0.32,0.466,8,-6.77,1,0.0374,0.00645,0.0,0.133,0.338,177.693,audio_features,5ScbulRnixQ2XAdvrPMFjz,spotify:track:5ScbulRnixQ2XAdvrPMFjz,https://api.spotify.com/v1/tracks/5ScbulRnixQ2XAdvrPMFjz,https://api.spotify.com/v1/audio-analysis/5ScbulRnixQ2XAdvrPMFjz,229304,3
The Weeknd & Ariana Grande,Save Your Tears,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,audio_features,37BZB0z9T8Xu7U3e65qxFy,spotify:track:37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/tracks/37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/audio-analysis/37BZB0z9T8Xu7U3e65qxFy,191014,4
Kanye West,Hurricane,0.587,0.561,0,-6.569,1,0.146,0.0466,0.0,0.109,0.351,80.009,audio_features,0RbW8kWozrVSIGb4V13o0o,spotify:track:0RbW8kWozrVSIGb4V13o0o,https://api.spotify.com/v1/tracks/0RbW8kWozrVSIGb4V13o0o,https://api.spotify.com/v1/audio-analysis/0RbW8kWozrVSIGb4V13o0o,243187,4
Lil Nas X,Montero (Call Me By Your Name),0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,audio_features,67BtfxlNbhBmCDR2L2l8qd,spotify:track:67BtfxlNbhBmCDR2L2l8qd,https://api.spotify.com/v1/tracks/67BtfxlNbhBmCDR2L2l8qd,https://api.spotify.com/v1/audio-analysis/67BtfxlNbhBmCDR2L2l8qd,137876,4
