artist,song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,origin,cluster
Lucenzo,Danza Kuduro,1Ozm60BmF5AUjqVSb9FJRC,0.696,0.8959999999999999,0,-6.0489999999999995,1,0.109,0.0834,0.0,0.038,0.887,130.091,199333,4,0.0,1
Arash,She Makes Me Go - Radio Edit,1a5XzsdDDWR7HMwvmXtNlB,0.705,0.897,2,-2.988,0,0.035,0.0783,3.24e-06,0.20199999999999999,0.534,133.013,178280,4,0.0,3
Ariana Grande,Problem,6xCNYRfzZtoQRo1xruPmNq,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.009,193920,4,0.0,3
Lady Gaga,Applause,2Zj4FUsMtu9PMuJsHbGbdv,0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.14300000000000002,0.738,139.945,212333,4,0.0,3
Calvin Harris,Sweet Nothing (feat. Florence Welch),24LS4lQShWyixJ0ZrJXfJ5,0.573,0.929,8,-3.9419999999999997,0,0.109,0.19699999999999998,0.00011200000000000001,0.0567,0.5820000000000001,127.934,212560,4,0.0,3
Bruno Mars,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478,4,0.0,1
David Guetta,She Wolf (Falling to Pieces) [feat. Sia],1SgdUjvppHnIp6L7DZSnwc,0.49200000000000005,0.857,7,-2.634,1,0.0655,0.0841,7.82e-06,0.344,0.39299999999999996,129.97299999999998,222500,4,0.0,2
Icona Pop,I Love It (feat. Charli XCX),1rhXXcrYp9RRObN5gsmqCU,0.711,0.9059999999999999,8,-2.6710000000000003,1,0.0284,0.00952,1.64e-05,0.153,0.8240000000000001,125.916,157153,4,0.0,1
Olly Murs,Troublemaker (feat. Flo Rida),3raIDwS1IWxjBq48cE4E8h,0.762,0.863,0,-3.6889999999999996,0,0.0565,0.015,0.0,0.125,0.965,106.008,185587,4,0.0,3
PSY,Gangnam Style,1PKnaWkakd5CBjNv8NyaSK,0.725,0.937,11,-2.8810000000000002,0,0.278,0.00425,0.0,0.0914,0.758,132.084,219493,4,0.0,6
Passenger,Let Her Go,7DFNE7NO0raLIUbgzY2rzm,0.509,0.5379999999999999,7,-7.335,1,0.0572,0.385,0.0,0.10400000000000001,0.244,75.089,252867,4,0.0,4
Asaf Avidan & the Mojos,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],3gNNXc7GUgKRPR15W77eDR,0.821,0.6759999999999999,3,-6.3660000000000005,0,0.0547,0.187,0.0001,0.0904,0.5589999999999999,119.012,213187,4,0.0,3
Calvin Harris,Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,0.7070000000000001,0.924,7,-2.842,1,0.031,0.0009720000000000001,0.00703,0.204,0.919,127.93700000000001,206413,4,0.0,1
OneRepublic,Counting Stars,6sy3LkhNFjJWlaeSMNwQ62,0.664,0.705,1,-4.9719999999999995,0,0.0382,0.0654,0.0,0.115,0.47700000000000004,122.01700000000001,257840,4,0.0,3
Bingo Players,Get Up (Rattle) - Vocal Edit,4W9KBjqf2lyUF6MdX0vsJm,0.8009999999999999,0.985,7,-2.69,1,0.0645,0.0205,6.86e-06,0.29600000000000004,0.722,127.99,166933,4,0.0,1
Bruno Mars,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.08800000000000001,0.387,72.795,213827,4,0.0,4
Kesha,Crazy Kids,2Qu4snHWjiF1bIIggf3R8i,0.742,0.706,0,-4.6,0,0.0433,0.0141,0.005679999999999999,0.133,0.478,128.03,230747,4,0.0,3
DJ Antoine,Bella Vita - DJ Antoine vs. Mad Mark 2K13 Radio Edit,6hp3KubrbcERP2g8ude9jR,0.722,0.8440000000000001,10,-5.015,1,0.16,0.0138,0.0,0.166,0.563,125.038,203820,4,0.0,1
James Arthur,Impossible,5yVIlYEHZxQVLyInCdldoS,0.376,0.695,0,-4.782,0,0.0933,0.135,0.0,0.11,0.302,169.533,209440,4,0.0,2
Contiez,Trumpsta - Djuro Remix,5la4dy8Tc1M6X6BanOHZ2H,0.958,0.539,1,-7.597,1,0.254,0.000723,0.7440000000000001,0.134,0.21100000000000002,128.0,258750,4,0.0,5
Olly Murs,Dear Darlin',0ZAqidNny4qh1RwM6LjOir,0.514,0.828,11,-4.672,0,0.0454,0.00626,8.73e-06,0.11900000000000001,0.34,124.008,206373,4,0.0,3
Zedd,Stay The Night - Featuring Hayley Williams Of Paramore,4bT2zLVv2T4GiK9q9KtI0v,0.596,0.738,8,-3.109,1,0.0411,0.109,0.0,0.0947,0.461,127.961,217347,4,0.0,1
Childish Gambino,Fire Fly,1Mx97utPpQdM4shyKXLfDp,0.672,0.889,11,-3.9019999999999997,0,0.22399999999999998,0.16699999999999998,0.0,0.314,0.479,87.47,203547,4,0.0,3
